Timestamp,CPU Usage (%)
1685172197.995327,41.0
1685172198.9975662,50.5
1685172199.9991283,72.8
1685172201.0019453,53.0
1685172202.0032678,25.6
1685172203.0045924,26.8
1685172204.005867,25.4
1685172205.0071373,39.1
1685172206.0077784,30.7
1685172207.0088532,26.5
1685172208.010158,35.7
1685172209.0114508,38.2
1685172210.0126915,77.3
1685172211.0139909,48.1
1685172212.015292,25.2
1685172213.0165863,26.1
1685172214.017866,25.1
1685172215.019141,28.9
1685172216.0204153,27.5
1685172217.0207183,30.5
1685172218.0219934,26.8
1685172219.0232534,55.3
1685172220.0245934,68.6
1685172221.025902,39.5
1685172222.0271952,25.6
1685172223.0284727,26.6
1685172224.0297587,27.6
1685172225.0310225,27.4
1685172226.0323017,26.8
1685172227.0335784,25.6
1685172228.0348477,34.2
1685172229.0360906,64.2
1685172230.0367713,62.7
1685172231.0380561,27.0
1685172232.0393813,27.0
1685172233.0407474,26.3
1685172234.0420861,26.0
1685172235.0434167,27.0
1685172236.0447614,26.0
1685172237.0460827,25.8
1685172238.0473707,40.6
1685172239.0486867,73.0
1685172240.0499651,48.5
1685172241.051254,26.1
1685172242.0525467,26.6
1685172243.0538204,25.6
1685172244.0550892,25.6
1685172245.0563586,26.8
1685172246.056731,25.6
1685172247.057995,27.7
1685172248.0592847,59.8
1685172249.0606372,65.7
1685172250.0619562,37.9
1685172251.06325,25.6
1685172252.064549,25.6
1685172253.0658233,26.3
1685172254.0671062,25.1
1685172255.0683868,27.1
1685172256.069666,25.9
1685172257.0709486,34.9
1685172258.0721927,66.9
1685172259.0727663,58.3
1685172260.0740392,27.6
1685172261.0752985,25.8
1685172262.0765917,25.6
1685172263.0778606,25.8
1685172264.0791388,26.2
1685172265.0804086,26.1
1685172266.080727,27.0
1685172267.081982,45.2
1685172268.0833058,74.7
1685172269.0845816,46.9
1685172270.085855,25.7
1685172271.0871298,25.8
1685172272.088411,26.2
1685172273.0896904,27.9
1685172274.0909636,26.4
1685172275.0920336,25.8
1685172276.0927231,29.6
1685172277.0939882,58.5
1685172278.0953228,67.9
1685172279.096631,32.1
1685172280.097969,26.0
1685172281.0993078,26.3
1685172282.1006503,25.5
1685172283.1019664,26.4
1685172284.1032338,25.4
1685172285.1045334,25.5
1685172286.1058147,37.4
1685172287.1070502,70.0
1685172288.1083531,75.5
1685172289.1086776,26.0
1685172290.109984,25.2
1685172291.1113298,25.6
1685172292.1126895,25.6
1685172293.1140246,26.6
1685172294.1153414,25.7
1685172295.1167061,25.8
1685172296.1180012,43.5
1685172297.1193047,73.7
1685172298.120586,51.7
1685172299.121879,48.2
1685172300.123178,34.1
1685172301.124467,53.6
1685172302.125777,32.9
1685172303.1271052,34.3
1685172304.128385,37.1
1685172305.128798,31.9
1685172306.130115,38.8
1685172307.1313689,55.9
1685172308.132708,75.1
1685172309.133974,46.9
1685172310.1352515,26.0
1685172311.1365743,25.6
1685172312.137865,25.4
1685172313.139133,26.6
1685172314.1401012,25.6
1685172315.1407485,25.3
1685172316.1420474,26.1
1685172317.1433122,62.3
